20-FE,1,1,1,1
05-MA,1,1,2,2
07-MA,2,2,4,4
11-MA,1,1,5,5
14-MA,1,1,6,6
15-MA,3,3,9,9
16-MA,3,3,12,12
17-MA,3,3,15,15
18-MA,2,2,17,17
19-MA,7,7,24,24
20-MA,5,5,29,29
21-MA,3,3,32,32
22-MA,2,2,34,34
23-MA,9,9,43,43
24-MA,5,5,48,48
25-MA,11,11,59,59
26-MA,13,13,72,72
27-MA,18,18,90,90
28-MA,13,13,103,103
29-MA,7,7,110,110
30-MA,17,17,127,127
31-MA,29,29,156,156
01-AP,30,30,186,186
02-AP,16,16,202,202
03-AP,31,31,233,233
04-AP,19,19,252,252
05-AP,12,12,264,264
06-AP,34,34,298,298
07-AP,31,31,329,329
08-AP,23,23,352,352
09-AP,15,15,367,367
10-AP,19,19,386,386
11-AP,25,25,411,411
12-AP,25,25,436,436
13-AP,20,20,456,456
14-AP,31,31,487,487
15-AP,46,46,533,533
16-AP,43,43,576,576
17-AP,49,49,625,625
18-AP,25,25,650,650
19-AP,22,22,672,672
20-AP,35,35,707,707
21-AP,23,23,730,730
22-AP,68,68,798,798
23-AP,50,50,848,848
24-AP,50,50,898,898
25-AP,28,28,926,926
26-AP,44,44,970,970
27-AP,80,80,1.050,1.050
28-AP,59,59,1.109,1.109
29-AP,73,73,1.182,1.182
30-AP,100,100,1.282,1.282
01-MA,55,55,1.337,1.337
02-MA,39,39,1.376,1.376
03-MA,47,47,1.423,1.423
04-MA,114,114,1.537,1.537
05-MA,112,112,1.649,1.649
06-MA,94,94,1.743,1.743
07-MA,97,97,1.840,1.840
08-MA,102,102,1.942,1.942
09-MA,66,66,2.008,2.008
10-MA,35,35,2.043,2.043
11-MA,93,93,2.136,2.136
12-MA,144,144,2.280,2.280
13-MA,156,156,2.436,2.436
14-MA,206,206,2.642,2.642
15-MA,137,137,2.779,2.779
16-MA,89,89,2.868,2.868
17-MA,63,63,2.931,2.931
18-MA,177,177,3.108,3.108
19-MA,200,200,3.308,3.308
20-MA,177,177,3.485,3.485
21-MA,183,183,3.668,3.668
22-MA,225,225,3.893,3.893
23-MA,104,104,3.997,3.997
24-MA,105,105,4.102,4.102
25-MA,152,152,4.254,4.254
26-MA,208,208,4.462,4.462
27-MA,241,241,4.703,4.703
28-MA,225,225,4.928,4.928
